Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5569.9,0,41:50.5,03:46.2,2.21,00:00.0,0,29,581,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4878021,-0.6530667
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,3845.5,0,33:48.1,01:29.3,5.6,00:00.0,0,37.5,395,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4970631,-0.6716627
1,3852.5,0,33:49.5,01:29.6,5.58,00:00.0,0,37.5,396,7,0,---,---,---,---,---,---,---,---,---,---,51.4970243,-0.6715826
1,3863.1,0,33:51.3,01:29.6,5.58,00:00.0,0,37.5,397,10.6,0,---,---,---,---,---,---,---,---,---,---,51.4969677,-0.6714601
1,3871,0,33:52.7,01:29.4,5.59,00:00.0,0,36,398,7.9,0,---,---,---,---,---,---,---,---,---,---,51.4969254,-0.6713685
1,3880.6,0,33:54.5,01:30.4,5.53,00:00.0,0,37.5,399,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4968744,-0.6712573
1,3889.3,0,33:56.1,01:31.7,5.45,00:00.0,0,37,400,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4968287,-0.6711547
1,3898,0,33:57.7,01:32.6,5.4,00:00.0,0,37.5,401,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4967821,-0.671054
1,3906.7,0,33:59.3,01:32.6,5.4,00:00.0,0,37,402,8.7,0,---,---,---,---,---,---,---,---,---,---,51.496735,-0.6709541
1,3915.3,0,34:00.9,01:33.1,5.37,00:00.0,0,37,403,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4966883,-0.6708547
1,3924,0,34:02.5,01:33.5,5.35,00:00.0,0,37.5,404,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4966408,-0.6707551
1,3932.6,0,34:04.1,01:33.5,5.35,00:00.0,0,37.5,405,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4965939,-0.6706562
1,3941.2,0,34:05.7,01:32.9,5.38,00:00.0,0,36,406,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4965468,-0.6705577
1,3950,0,34:07.5,01:32.9,5.38,00:00.0,0,37,407,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4964976,-0.6704588
1,3958.7,0,34:08.9,01:31.2,5.48,00:00.0,0,37.5,408,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4964495,-0.6703601
1,3966.5,0,34:10.5,01:31.4,5.47,00:00.0,0,37.5,409,7.8,0,---,---,---,---,---,---,---,---,---,---,51.496406,-0.6702712
1,3976.9,0,34:12.3,01:31.2,5.48,00:00.0,0,37.5,410,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4963489,-0.670153
1,3984.7,0,34:13.7,01:31.1,5.49,00:00.0,0,35.5,411,7.8,0,---,---,---,---,---,---,---,---,---,---,51.4963057,-0.6700644
1,3994.1,0,34:15.5,01:32.1,5.43,00:00.0,0,37,412,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4962539,-0.6699578
1,4002.7,0,34:17.1,01:32.8,5.39,00:00.0,0,37.5,413,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4962059,-0.6698594
1,4011.4,0,34:18.7,01:33.1,5.37,00:00.0,0,37.5,414,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4961585,-0.6697596
1,4020.1,0,34:20.3,01:33.6,5.34,00:00.0,0,37.5,415,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4961127,-0.6696587
1,4028.8,0,34:21.9,01:33.5,5.35,00:00.0,0,36,416,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4960672,-0.6695573
1,4037.5,0,34:23.5,01:33.5,5.35,00:00.0,0,37,417,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4960223,-0.6694541
1,4046.2,0,34:25.1,01:33.8,5.33,00:00.0,0,37.5,418,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4959781,-0.6693511
1,4054.8,0,34:26.7,01:33.1,5.37,00:00.0,0,35.5,419,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4959337,-0.6692496
1,4063.4,0,34:28.5,01:33.3,5.36,00:00.0,0,37,420,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4958879,-0.6691484
1,4072.7,0,34:30.1,01:32.1,5.43,00:00.0,0,35.5,421,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4958376,-0.6690408
1,4080.4,0,34:31.6,01:32.4,5.41,00:00.0,0,37.5,422,7.7,0,---,---,---,---,---,---,---,---,---,---,51.4957951,-0.6689532
1,4089.9,0,34:33.3,01:32.4,5.41,00:00.0,0,35.5,423,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4957424,-0.6688461
1,4098.5,0,34:34.9,01:32.6,5.4,00:00.0,0,37,424,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4956938,-0.66875
1,4108,0,34:36.7,01:33.5,5.35,00:00.0,0,36,425,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4956412,-0.6686424
1,4116.5,0,34:38.3,01:33.8,5.33,00:00.0,0,37,426,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4955941,-0.668545
1,4125.1,0,34:39.9,01:34.0,5.32,00:00.0,0,36,427,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4955467,-0.6684474
1,4133.7,0,34:41.5,01:34.3,5.3,00:00.0,0,36.5,428,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4955002,-0.6683477
1,4142.3,0,34:43.1,01:34.3,5.3,00:00.0,0,36,429,8.6,0,---,---,---,---,---,---,---,---,---,---,51.495454,-0.6682484
1,4151.8,0,34:44.9,01:33.8,5.33,00:00.0,0,37,430,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4954041,-0.6681369
1,4159.6,0,34:46.5,01:33.8,5.33,00:00.0,0,36,431,7.8,0,---,---,---,---,---,---,---,---,---,---,51.4953636,-0.668046
1,4169,0,34:48.1,01:31.7,5.45,00:00.0,0,37,432,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4953142,-0.6679351
1,4177.6,0,34:49.7,01:31.7,5.45,00:00.0,0,35.5,433,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4952688,-0.6678349
1,4187,0,34:51.5,01:32.9,5.38,00:00.0,0,37.5,434,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4952192,-0.6677255
1,4195.6,0,34:53.1,01:34.2,5.31,00:00.0,0,35.5,435,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4951734,-0.6676252
1,4204.2,0,34:54.7,01:34.3,5.3,00:00.0,0,35.5,436,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4951274,-0.6675252
1,4212.7,0,34:56.3,01:34.5,5.29,00:00.0,0,36,437,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4950812,-0.6674274
1,4222.1,0,34:58.1,01:35.2,5.25,00:00.0,0,37,438,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4950298,-0.6673197
1,4230.7,0,34:59.7,01:35.4,5.24,00:00.0,0,35.5,439,8.6,0,---,---,---,---,---,---,---,---,---,---,51.494983,-0.6672218
1,4239.2,0,35:01.5,01:35.1,5.26,00:00.0,0,36,440,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4949369,-0.6671233
1,4248.7,0,35:03.1,01:32.9,5.38,00:00.0,0,37,441,9.4,0,---,---,---,---,---,---,---,---,---,---,51.494886,-0.6670145
1,4256.3,0,35:04.6,01:32.8,5.39,00:00.0,0,35.5,442,7.7,0,---,---,---,---,---,---,---,---,---,---,51.494845,-0.6669256
1,4265.7,0,35:06.3,01:32.4,5.41,00:00.0,0,35.5,443,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4947948,-0.6668172
1,4274.2,0,35:07.9,01:33.6,5.34,00:00.0,0,37,444,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4947485,-0.6667198
1,4283.6,0,35:09.7,01:34.9,5.27,00:00.0,0,35.5,445,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4946968,-0.6666125
1,4292.1,0,35:11.3,01:34.7,5.28,00:00.0,0,35.5,446,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4946491,-0.6665161
