Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2860.8,0,11:34.9,02:01.7,4.11,00:00.0,0,31,297,9.6,0,---,---,---,---,---,---,---,---,---,---,52.2317159,0.170906
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,744.8,0,02:26.3,01:44.4,4.79,00:00.0,0,37,100,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2260429,0.1664956
1,752.4,0,02:27.9,01:45.3,4.75,00:00.0,0,38.5,101,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2259745,0.1664972
1,760.2,0,02:29.5,01:45.0,4.76,00:00.0,0,37,102,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2259056,0.1665127
1,767.7,0,02:31.3,01:45.3,4.75,00:00.0,0,38.5,103,7.5,0,---,---,---,---,---,---,---,---,---,---,52.22584,0.1665368
1,775.3,0,02:32.7,01:43.5,4.83,00:00.0,0,37,104,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2257731,0.1665613
1,782.2,0,02:34.3,01:42.7,4.87,00:00.0,0,38.5,105,6.9,0,---,---,---,---,---,---,---,---,---,---,52.2257125,0.1665855
1,791,0,02:35.9,01:40.4,4.98,00:00.0,0,37,106,8.8,0,---,---,---,---,---,---,---,---,---,---,52.2256353,0.1666127
1,797.3,0,02:37.3,01:39.8,5.01,00:00.0,0,37,107,6.3,0,---,---,---,---,---,---,---,---,---,---,52.2255807,0.1666355
1,806.8,0,02:39.1,01:39.8,5.01,00:00.0,0,38.5,108,9.5,0,---,---,---,---,---,---,---,---,---,---,52.2254991,0.1666751
1,813.9,0,02:40.6,01:39.6,5.02,00:00.0,0,37,109,7.1,0,---,---,---,---,---,---,---,---,---,---,52.2254389,0.1667096
1,821.7,0,02:42.1,01:40.6,4.97,00:00.0,0,37,110,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2253728,0.1667476
1,830.3,0,02:43.9,01:42.0,4.9,00:00.0,0,37.5,111,8.6,0,---,---,---,---,---,---,---,---,---,---,52.2252986,0.1667821
1,837.3,0,02:45.3,01:43.1,4.85,00:00.0,0,38.5,112,7.1,0,---,---,---,---,---,---,---,---,---,---,52.2252373,0.1668087
1,845.1,0,02:46.9,01:42.9,4.86,00:00.0,0,37,113,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2251704,0.1668399
1,852.9,0,02:48.5,01:42.9,4.86,00:00.0,0,38.5,114,7.9,0,---,---,---,---,---,---,---,---,---,---,52.2251022,0.1668695
1,860.5,0,02:50.1,01:44.4,4.79,00:00.0,0,37,115,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2250366,0.1668987
1,868.1,0,02:51.7,01:45.5,4.74,00:00.0,0,37,116,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2249703,0.1669255
1,876.4,0,02:53.5,01:47.3,4.66,00:00.0,0,36.5,117,8.3,0,---,---,---,---,---,---,---,---,---,---,52.2248982,0.1669548
1,883.7,0,02:55.4,01:48.5,4.61,00:00.0,0,37,118,7.4,0,---,---,---,---,---,---,---,---,---,---,52.2248335,0.1669777
1,891.2,0,02:56.7,01:47.5,4.65,00:00.0,0,37,119,7.5,0,---,---,---,---,---,---,---,---,---,---,52.2247674,0.1669982
1,898,0,02:58.4,01:47.1,4.67,00:00.0,0,36.5,120,6.8,0,---,---,---,---,---,---,---,---,---,---,52.2247078,0.167016
1,906.2,0,02:59.9,01:45.0,4.76,00:00.0,0,37,121,8.2,0,---,---,---,---,---,---,---,---,---,---,52.2246359,0.1670408
1,913.1,0,03:01.5,01:44.6,4.78,00:00.0,0,37,122,6.9,0,---,---,---,---,---,---,---,---,---,---,52.2245746,0.1670562
1,921.5,0,03:03.1,01:44.4,4.79,00:00.0,0,37,123,8.4,0,---,---,---,---,---,---,---,---,---,---,52.2245003,0.1670774
1,929,0,03:04.7,01:44.4,4.79,00:00.0,0,37,124,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2244332,0.1670964
1,937.6,0,03:06.5,01:44.4,4.79,00:00.0,0,37,125,8.6,0,---,---,---,---,---,---,---,---,---,---,52.2243569,0.1671149
1,945.4,0,03:08.1,01:43.9,4.81,00:00.0,0,37,126,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2242886,0.1671369
1,953.3,0,03:09.7,01:43.3,4.84,00:00.0,0,37,127,7.9,0,---,---,---,---,---,---,---,---,---,---,52.2242182,0.1671531
1,961.1,0,03:11.3,01:42.7,4.87,00:00.0,0,37.5,128,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2241488,0.1671664
1,969,0,03:12.9,01:42.5,4.88,00:00.0,0,38,129,7.9,0,---,---,---,---,---,---,---,---,---,---,52.2240781,0.1671759
1,977,0,03:14.5,01:42.0,4.9,00:00.0,0,37,130,8,0,---,---,---,---,---,---,---,---,---,---,52.2240066,0.1671905
1,985,0,03:16.4,01:41.4,4.93,00:00.0,0,37,131,8,0,---,---,---,---,---,---,---,---,---,---,52.2239357,0.1672091
1,992.9,0,03:17.7,01:40.2,4.99,00:00.0,0,37,132,7.9,0,---,---,---,---,---,---,---,---,---,---,52.2238653,0.1672226
1,1000,0,03:19.4,01:40.4,4.98,00:00.0,0,37,133,7.2,0,---,---,---,---,---,---,---,---,---,---,52.2238013,0.167234
1,1008.7,0,03:20.9,01:39.6,5.02,00:00.0,0,37,134,8.6,0,---,---,---,---,---,---,---,---,---,---,52.2237245,0.1672509
1,1015.8,0,03:22.5,01:40.0,5,00:00.0,0,37,135,7.2,0,---,---,---,---,---,---,---,---,---,---,52.2236605,0.1672649
1,1024.3,0,03:24.1,01:41.4,4.93,00:00.0,0,38.5,136,8.5,0,---,---,---,---,---,---,---,---,---,---,52.2235845,0.1672753
1,1032.1,0,03:25.7,01:42.2,4.89,00:00.0,0,35.5,137,7.7,0,---,---,---,---,---,---,---,---,---,---,52.223515,0.1672805
1,1039.8,0,03:27.3,01:43.3,4.84,00:00.0,0,36.5,138,7.7,0,---,---,---,---,---,---,---,---,---,---,52.2234459,0.1672845
1,1048.3,0,03:29.1,01:44.4,4.79,00:00.0,0,36.5,139,8.5,0,---,---,---,---,---,---,---,---,---,---,52.2233695,0.1672888
